stim_jnl,frame,time_s,fluor,dff
odr7p_NH4Br_JNL_10off_120on_50off,2,0.1,52032900,0.7500382414444543
odr7p_NH4Br_JNL_10off_120on_50off,3,0.2,51198300,-0.8659774316452552
odr7p_NH4Br_JNL_10off_120on_50off,4,0.3,50689300,-1.8515417470090965
odr7p_NH4Br_JNL_10off_120on_50off,5,0.4,50836900,-1.5657474583102695
odr7p_NH4Br_JNL_10off_120on_50off,6,0.5,50788800,-1.6588823179743182
odr7p_NH4Br_JNL_10off_120on_50off,7,0.6,50537700,-2.1450811383826887
odr7p_NH4Br_JNL_10off_120on_50off,8,0.7,50431400,-2.3509072419645674
odr7p_NH4Br_JNL_10off_120on_50off,9,0.8,50595100.00000001,-2.0339389149997973
odr7p_NH4Br_JNL_10off_120on_50off,10,0.9,50678300,-1.8728407793647002
odr7p_NH4Br_JNL_10off_120on_50off,11,1,50808200,-1.621318570001708
odr7p_NH4Br_JNL_10off_120on_50off,12,1.1,50576100.00000001,-2.0707281527049304
odr7p_NH4Br_JNL_10off_120on_50off,13,1.2,50968500,-1.3109335803105022
odr7p_NH4Br_JNL_10off_120on_50off,14,1.3,50893600,-1.4559606278954762
odr7p_NH4Br_JNL_10off_120on_50off,15,1.4,50965600,-1.3165487797497069
odr7p_NH4Br_JNL_10off_120on_50off,16,1.5,50834800,-1.5698136372145213
odr7p_NH4Br_JNL_10off_120on_50off,17,1.6,51111600,-1.0338525321207856
odr7p_NH4Br_JNL_10off_120on_50off,18,1.7,51084500.00000001,-1.086325602742304
odr7p_NH4Br_JNL_10off_120on_50off,19,1.8,51112399.99999999,-1.0323035115858472
odr7p_NH4Br_JNL_10off_120on_50off,20,1.9,51379800,-0.5145433977777949
odr7p_NH4Br_JNL_10off_120on_50off,21,2,51228600,-0.8073082788839105
odr7p_NH4Br_JNL_10off_120on_50off,22,2.1,51350300.00000001,-0.5716635300041721
odr7p_NH4Br_JNL_10off_120on_50off,23,2.2,51307400,-0.6547297561910408
odr7p_NH4Br_JNL_10off_120on_50off,24,2.3,51384299.99999999,-0.5058301572686987
odr7p_NH4Br_JNL_10off_120on_50off,25,2.4,51504400,-0.2732834494588664
odr7p_NH4Br_JNL_10off_120on_50off,26,2.5,51835600,0.3680110520116725
odr7p_NH4Br_JNL_10off_120on_50off,27,2.6,51748400,0.19916781370179637
odr7p_NH4Br_JNL_10off_120on_50off,28,2.7,51697900,0.10138589243288869
odr7p_NH4Br_JNL_10off_120on_50off,29,2.8,51586000,-0.11528335489366112
odr7p_NH4Br_JNL_10off_120on_50off,30,2.9,51768300,0.23769969950875203
odr7p_NH4Br_JNL_10off_120on_50off,31,3,52067400,0.8168397520143021
odr7p_NH4Br_JNL_10off_120on_50off,32,3.1,52252200,1.1746634955884434
odr7p_NH4Br_JNL_10off_120on_50off,33,3.2,52304400,1.2757370854941261
odr7p_NH4Br_JNL_10off_120on_50off,34,3.3,51856000,0.4075110756529738
odr7p_NH4Br_JNL_10off_120on_50off,35,3.4,52202000,1.0774624570201432
odr7p_NH4Br_JNL_10off_120on_50off,36,3.5,52387700,1.4370288486961065
odr7p_NH4Br_JNL_10off_120on_50off,37,3.6,52392100,1.445548461638348
odr7p_NH4Br_JNL_10off_120on_50off,38,3.7,52488700,1.632592691233922
odr7p_NH4Br_JNL_10off_120on_50off,39,3.8,52743600,2.126149359183319
odr7p_NH4Br_JNL_10off_120on_50off,40,3.9,52384000.00000001,1.4298646287219634
odr7p_NH4Br_JNL_10off_120on_50off,41,4,52787300,2.2107646059051262
odr7p_NH4Br_JNL_10off_120on_50off,42,4.1,52925500,2.4783579033182557
odr7p_NH4Br_JNL_10off_120on_50off,43,4.2,52814900,2.2642058143610044
odr7p_NH4Br_JNL_10off_120on_50off,44,4.3,52989300,2.601892290980757
odr7p_NH4Br_JNL_10off_120on_50off,45,4.4,52778900,2.1944998902881196
odr7p_NH4Br_JNL_10off_120on_50off,46,4.5,52847300,2.3269411460266007
odr7p_NH4Br_JNL_10off_120on_50off,47,4.6,53038999.99999999,2.698125191714697
odr7p_NH4Br_JNL_10off_120on_50off,48,4.7,53012400,2.6466202589275243
odr7p_NH4Br_JNL_10off_120on_50off,49,4.8,53283400,3.171350965142851
odr7p_NH4Br_JNL_10off_120on_50off,50,4.9,53392900,3.3833731508645415
odr7p_NH4Br_JNL_10off_120on_50off,51,5,53357500,3.3148289921928717
odr7p_NH4Br_JNL_10off_120on_50off,52,5.1,53169600,2.9510027940457877
odr7p_NH4Br_JNL_10off_120on_50off,53,5.2,53353400.00000001,3.3068902619512524
odr7p_NH4Br_JNL_10off_120on_50off,54,5.3,53481800,3.555508057811193
odr7p_NH4Br_JNL_10off_120on_50off,55,5.4,53535700.00000001,3.659873316353665
odr7p_NH4Br_JNL_10off_120on_50off,56,5.5,53930700,4.424702205486691
odr7p_NH4Br_JNL_10off_120on_50off,57,5.6,54044900,4.645824886851231
odr7p_NH4Br_JNL_10off_120on_50off,58,5.7,54075200,4.704494039612575
odr7p_NH4Br_JNL_10off_120on_50off,59,5.8,54278500,5.098138883057504
odr7p_NH4Br_JNL_10off_120on_50off,60,5.9,53868900,4.305040369161572
odr7p_NH4Br_JNL_10off_120on_50off,61,6,54196099.99999999,4.938589767957332
odr7p_NH4Br_JNL_10off_120on_50off,62,6.1,54133400,4.817185283530405
odr7p_NH4Br_JNL_10off_120on_50off,63,6.2,54038700.00000001,4.633819977705359
odr7p_NH4Br_JNL_10off_120on_50off,64,6.3,53930800,4.42489583305356
odr7p_NH4Br_JNL_10off_120on_50off,65,6.4,54321600,5.181592364378097
odr7p_NH4Br_JNL_10off_120on_50off,66,6.5,54329400,5.196695314593888
odr7p_NH4Br_JNL_10off_120on_50off,67,6.6,54241200,5.025915800615321
odr7p_NH4Br_JNL_10off_120on_50off,68,6.7,54418100,5.368442966406802
odr7p_NH4Br_JNL_10off_120on_50off,69,6.8,54318799.99999999,5.176170792505746
odr7p_NH4Br_JNL_10off_120on_50off,70,6.9,54616000,5.751631921240798
odr7p_NH4Br_JNL_10off_120on_50off,71,7,54581200,5.684249527970342
odr7p_NH4Br_JNL_10off_120on_50off,72,7.1,54592000,5.705161305192208
odr7p_NH4Br_JNL_10off_120on_50off,73,7.2,54742600,5.996764420897109
odr7p_NH4Br_JNL_10off_120on_50off,74,7.3,54855200,6.214789061191743
odr7p_NH4Br_JNL_10off_120on_50off,75,7.4,54738600,5.9890193182223435
odr7p_NH4Br_JNL_10off_120on_50off,76,7.51,54769000,6.0478820985505575
odr7p_NH4Br_JNL_10off_120on_50off,77,7.6,54843400.00000001,6.1919410083012005
odr7p_NH4Br_JNL_10off_120on_50off,78,7.7,54763200,6.036651699672149
odr7p_NH4Br_JNL_10off_120on_50off,79,7.8,54750600,6.012254626246639
odr7p_NH4Br_JNL_10off_120on_50off,80,7.9,54813700,6.134433620941056
odr7p_NH4Br_JNL_10off_120on_50off,81,8,54825400,6.157088046264744
odr7p_NH4Br_JNL_10off_120on_50off,82,8.1,54824800,6.155926280863529
odr7p_NH4Br_JNL_10off_120on_50off,83,8.2,55077900,6.6459976526092825
odr7p_NH4Br_JNL_10off_120on_50off,84,8.31,55181800,6.8471766945863015
odr7p_NH4Br_JNL_10off_120on_50off,85,8.41,55222000,6.92501497646769
odr7p_NH4Br_JNL_10off_120on_50off,86,8.51,54825799.99999999,6.157862556532206
odr7p_NH4Br_JNL_10off_120on_50off,87,8.61,54957600,6.413063689665726
odr7p_NH4Br_JNL_10off_120on_50off,88,8.71,54976800,6.450240182504598
