strain_stim,jnl,frame,time_ms,fluor
odr7p_NH4Br,JNL_10off_120on_50off,2,100,256996000
odr7p_NH4Br,JNL_10off_120on_50off,3,200,252869000
odr7p_NH4Br,JNL_10off_120on_50off,4,301,249897000
odr7p_NH4Br,JNL_10off_120on_50off,5,400,247145000
odr7p_NH4Br,JNL_10off_120on_50off,6,500,245217999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,7,600,243073000
odr7p_NH4Br,JNL_10off_120on_50off,8,700,241648000
odr7p_NH4Br,JNL_10off_120on_50off,9,800,242057000
odr7p_NH4Br,JNL_10off_120on_50off,10,900,239344000
odr7p_NH4Br,JNL_10off_120on_50off,11,1000,238323000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,12,1100,237354999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,13,1200,236073000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,14,1300,235200000
odr7p_NH4Br,JNL_10off_120on_50off,15,1400,233985999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,16,1500,233771000
odr7p_NH4Br,JNL_10off_120on_50off,17,1600,232507000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,18,1700,232334000
odr7p_NH4Br,JNL_10off_120on_50off,19,1800,231070999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,20,1900,230471000
odr7p_NH4Br,JNL_10off_120on_50off,21,2000,230130000
odr7p_NH4Br,JNL_10off_120on_50off,22,2100,229496000
odr7p_NH4Br,JNL_10off_120on_50off,23,2200,228777000
odr7p_NH4Br,JNL_10off_120on_50off,24,2300,227717000
odr7p_NH4Br,JNL_10off_120on_50off,25,2400,227469000
odr7p_NH4Br,JNL_10off_120on_50off,26,2501,226779000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,27,2600,226135000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,28,2700,225476000
odr7p_NH4Br,JNL_10off_120on_50off,29,2800,224876000
odr7p_NH4Br,JNL_10off_120on_50off,30,2900,224617999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,31,3000,224622000
odr7p_NH4Br,JNL_10off_120on_50off,32,3100,223686000
odr7p_NH4Br,JNL_10off_120on_50off,33,3200,223016000
odr7p_NH4Br,JNL_10off_120on_50off,34,3300,222883000
odr7p_NH4Br,JNL_10off_120on_50off,35,3400,222332000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,36,3500,222362000
odr7p_NH4Br,JNL_10off_120on_50off,37,3600,221817999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,38,3701,221074000
odr7p_NH4Br,JNL_10off_120on_50off,39,3801,220353999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,40,3900,220188000
odr7p_NH4Br,JNL_10off_120on_50off,41,4000,219932999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,42,4100,219569000
odr7p_NH4Br,JNL_10off_120on_50off,43,4200,219137000
odr7p_NH4Br,JNL_10off_120on_50off,44,4300,218735000
odr7p_NH4Br,JNL_10off_120on_50off,45,4400,218573000
odr7p_NH4Br,JNL_10off_120on_50off,46,4501,218204999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,47,4600,217353000
odr7p_NH4Br,JNL_10off_120on_50off,48,4700,217031999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,49,4801,216913000
odr7p_NH4Br,JNL_10off_120on_50off,50,4900,216236000
odr7p_NH4Br,JNL_10off_120on_50off,51,5000,216350000
odr7p_NH4Br,JNL_10off_120on_50off,52,5100,215864000
odr7p_NH4Br,JNL_10off_120on_50off,53,5200,215126000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,54,5301,215501000
odr7p_NH4Br,JNL_10off_120on_50off,55,5401,215360000
odr7p_NH4Br,JNL_10off_120on_50off,56,5501,214227000
odr7p_NH4Br,JNL_10off_120on_50off,57,5600,214209000
odr7p_NH4Br,JNL_10off_120on_50off,58,5700,214214000
odr7p_NH4Br,JNL_10off_120on_50off,59,5800,213700000
odr7p_NH4Br,JNL_10off_120on_50off,60,5910,214013000
odr7p_NH4Br,JNL_10off_120on_50off,61,6001,213173000
odr7p_NH4Br,JNL_10off_120on_50off,62,6101,212893000
odr7p_NH4Br,JNL_10off_120on_50off,63,6201,212907000
odr7p_NH4Br,JNL_10off_120on_50off,64,6301,212222000
odr7p_NH4Br,JNL_10off_120on_50off,65,6401,212121000
odr7p_NH4Br,JNL_10off_120on_50off,66,6501,211520999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,67,6601,211493999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,68,6701,211380000
odr7p_NH4Br,JNL_10off_120on_50off,69,6801,211374000
odr7p_NH4Br,JNL_10off_120on_50off,70,6901,211012999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,71,7011,211463000
odr7p_NH4Br,JNL_10off_120on_50off,72,7111,211349000
odr7p_NH4Br,JNL_10off_120on_50off,73,7211,214245000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,74,7311,213725000
odr7p_NH4Br,JNL_10off_120on_50off,75,7401,212837000
odr7p_NH4Br,JNL_10off_120on_50off,76,7501,213052000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,77,7601,212786000
odr7p_NH4Br,JNL_10off_120on_50off,78,7711,212561000
odr7p_NH4Br,JNL_10off_120on_50off,79,7811,212143000
odr7p_NH4Br,JNL_10off_120on_50off,80,7911,212221000
odr7p_NH4Br,JNL_10off_120on_50off,81,8011,211265000
odr7p_NH4Br,JNL_10off_120on_50off,82,8111,211412000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,83,8211,211258000
odr7p_NH4Br,JNL_10off_120on_50off,84,8311,210589000
odr7p_NH4Br,JNL_10off_120on_50off,85,8411,210245000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,86,8511,210414000
odr7p_NH4Br,JNL_10off_120on_50off,87,8611,210498000
odr7p_NH4Br,JNL_10off_120on_50off,88,8711,209496000
odr7p_NH4Br,JNL_10off_120on_50off,89,8811,210108000
odr7p_NH4Br,JNL_10off_120on_50off,90,8911,209112000
